Namn;Ägartyp;Antal P-platser;Avgiftsbelagd tid - vardag;Avgiftsbelagd tid - vardag före helg;Avgiftsbelagd tid - helg;Taxa - avgiftsbelagd tid;Taxa - övrig tid;Tele P nr;EasyPark nr;Status;geo_shape;geo_point_2d
Kungsgatan;hbg;19;9:00-18:00;(9:00-15:00);;20;;9549;4050;aktiv;"{""type"": ""Point"", ""coordinates"": [12.690499103420875, 56.046739121329274]}";56.0467391213,12.6904991034
Lilla Bergaliden;hbg;15;9:00-18:00;(9:00-15:00);;10;;9553;4054;aktiv;"{""type"": ""Point"", ""coordinates"": [12.700737397015725, 56.04462513042009]}";56.0446251304,12.700737397
Kungsgatan;hbg;22;9:00-22:00;(9:00-22:00);9:00-22:00;15;;9602;4106;aktiv;"{""type"": ""Point"", ""coordinates"": [12.688801109369203, 56.0487852739274]}";56.0487852739,12.6888011094
Södergatan;hbg;;9:00-18:00;(9:00-15:00);;10;;9598;4100;aktiv;"{""type"": ""Point"", ""coordinates"": [12.701273902590133, 56.04164796540738]}";56.0416479654,12.7012739026
Gasverksgatan;hbg;20;9:00-18:00;(9:00-15:00);;5;;9530;4030;aktiv;"{""type"": ""Point"", ""coordinates"": [12.707123461009493, 56.04022195655396]}";56.0402219566,12.707123461
Prins Kristians gata;hbg;23;7:30-20:00;(7:30-20:00);7:30-20:00;5;;9563;4064;bortpl;"{""type"": ""Point"", ""coordinates"": [12.706836792394197, 56.04480613394869]}";56.0448061339,12.7068367924
Bogseraregatan;hbg;15;9:00-22:00;(9:00-22:00);9:00-22:00;10;;9506;4006;aktiv;"{""type"": ""Point"", ""coordinates"": [12.686397538679964, 56.050778845652076]}";56.0507788457,12.6863975387
Akuten;hbg;;7:30-20:00;(7:30-20:00);7:30-20:00;10;;9551;4052;bortpl;"{""type"": ""Point"", ""coordinates"": [12.702565016644915, 56.04553262386317]}";56.0455326239,12.7025650166
S:t Clemens gata;hbg;9;9:00-18:00;(9:00-15:00);;5;;9568;4069;aktiv;"{""type"": ""Point"", ""coordinates"": [12.696473440535316, 56.05014146568114]}";56.0501414657,12.6964734405
Olympiahuset;hbg;;0:00-24:00;(0:00-24:00);0:00-24:00;8;4;;;bortpl;"{""type"": ""Point"", ""coordinates"": [12.70641451835424, 56.04707138435487]}";56.0470713844,12.7064145184
Hamntorget;hbg;62;9:00-18:00;(9:00-15:00);;20;;9536;4036;aktiv;"{""type"": ""Point"", ""coordinates"": [12.691840512364495, 56.045845808535304]}";56.0458458085,12.6918405124
Sundstorgsgaraget -2;hbg;;8:00-18:00;(8:00-15:00);;15;5;9511;4102;aktiv;"{""type"": ""Point"", ""coordinates"": [12.690214572655087, 56.04819307423353]}";56.0481930742,12.6902145727
Hantverkaregatan;hbg;11;9:00-18:00;(9:00-15:00);;5;;9538;4038;aktiv;"{""type"": ""Point"", ""coordinates"": [12.705283340496033, 56.03794189231501]}";56.0379418923,12.7052833405
Södra Strandgatan;hbg;13;9:00-18:00;(9:00-15:00);;10;;9517;4017;aktiv;"{""type"": ""Point"", ""coordinates"": [12.695713233305643, 56.044586092055525]}";56.0445860921,12.6957132333
Norra Storgatan;hbg;7;9:00-18:00;(9:00-15:00);;10;;9558;4059;aktiv;"{""type"": ""Point"", ""coordinates"": [12.694033585880897, 56.0483511394362]}";56.0483511394,12.6940335859
Nedre Långvinkelsgatan;hbg;3;9:00-18:00;(9:00-15:00);;10;;9594;4094;aktiv;"{""type"": ""Point"", ""coordinates"": [12.691769727966797, 56.04800407669782]}";56.0480040767,12.691769728
Persgatan;hbg;19;9:00-18:00;(9:00-15:00);;5;;9561;4062;aktiv;"{""type"": ""Point"", ""coordinates"": [12.687560372401094, 56.05310747197797]}";56.053107472,12.6875603724
Villatomtsvägen;hbg;15;9:00-18:00;(9:00-15:00);;5;;9589;4090;aktiv;"{""type"": ""Point"", ""coordinates"": [12.695565617064466, 56.05072079318314]}";56.0507207932,12.6955656171
Bergaliden;hbg;13;9:00-18:00;(9:00-15:00);;5;;9503;4003;aktiv;"{""type"": ""Point"", ""coordinates"": [12.701078064427524, 56.048793977174796]}";56.0487939772,12.7010780644
Södra Storgatan;hbg;4;9:00-18:00;(9:00-15:00);;10;;9592;4092;aktiv;"{""type"": ""Point"", ""coordinates"": [12.698306306997708, 56.04578148810445]}";56.0457814881,12.698306307
Munkavägen;hbg;8;9:00-18:00;(9:00-15:00);;5;;9554;4055;aktiv;"{""type"": ""Point"", ""coordinates"": [12.707477435851734, 56.04656020282201]}";56.0465602028,12.7074774359
Carl Krooks gata;hbg;20;9:00-18:00;(9:00-15:00);;10;;;;aktiv;"{""type"": ""Point"", ""coordinates"": [12.702259737121658, 56.037583756027566]}";56.037583756,12.7022597371
Lasarettet;hbg;5;0:00-24:00;(0:00-24:00);0:00-24:00;10;;9552;4053;bortpl;"{""type"": ""Point"", ""coordinates"": [12.703714361430615, 56.04663999988737]}";56.0466399999,12.7037143614
Järnvägsgatan;hbg;8;9:00-18:00;(9:00-15:00);;10;;9541;4041;bortpl;"{""type"": ""Point"", ""coordinates"": [12.697468658780164, 56.04210114301616]}";56.042101143,12.6974686588
Parapeten;hbg;35;9:00-20:00;(9:00-20:00);9:00-20:00;5;;9601;4051;aktiv;"{""type"": ""Point"", ""coordinates"": [12.687673833439748, 56.04385836421111]}";56.0438583642,12.6876738334
Bergaliden (nedre maskin);hbg;30;9:00-18:00;(9:00-15:00);;5;;;4002;aktiv;"{""type"": ""Point"", ""coordinates"": [12.701580426025194, 56.04490525446862]}";56.0449052545,12.701580426
GA torg;hbg;85;9:00-20:00;(9:00-15:00);;10;;;4027;aktiv;"{""type"": ""Point"", ""coordinates"": [12.703193563801713, 56.03801187220999]}";56.0380118722,12.7031935638
Olympia;hbg;100;8:00-17:00;;;5;;;4103;aktiv;"{""type"": ""Point"", ""coordinates"": [12.71111040201942, 56.05067358776056]}";56.0506735878,12.711110402
Stuvaregatan;hbg;14;9:00-22:00;(9:00-22:00);9:00-22:00;15;;9574;4075;aktiv;"{""type"": ""Point"", ""coordinates"": [12.687764373919658, 56.0488771178939]}";56.0488771179,12.6877643739
Karl Johans gata;hbg;19;9:00-18:00;(9:00-15:00);;5;;9542;4043;aktiv;"{""type"": ""Point"", ""coordinates"": [12.686249558667928, 56.051595430562614]}";56.0515954306,12.6862495587
Carl Krooks gata;hbg;5;9:00-18:00;(9:00-15:00);;10;;9520;4020;aktiv;"{""type"": ""Point"", ""coordinates"": [12.700209406310417, 56.041340644334554]}";56.0413406443,12.7002094063
Prins Kristians gata;hbg;14;7:30-20:00;(7:30-20:00);7:30-20:00;5;;9563;4064;aktiv;"{""type"": ""Point"", ""coordinates"": [12.706419403732019, 56.0447748350812]}";56.0447748351,12.7064194037
Hamntorget Västra;hbg;;9:00-18:00;(9:00-15:00);;15;;9537;4037;bortpl;"{""type"": ""Point"", ""coordinates"": [12.69010007888761, 56.045471423163725]}";56.0454714232,12.6901000789
Kungsgatan;hbg;46;9:00-18:00;(9:00-15:00);;20;;9549;4050;bortpl;"{""type"": ""Point"", ""coordinates"": [12.69025509910678, 56.046613753780264]}";56.0466137538,12.6902550991
Eneborgsvägen;hbg;14;9:00-18:00;(9:00-15:00);;10;;9524;4024;aktiv;"{""type"": ""Point"", ""coordinates"": [12.702407781796017, 56.04163972551165]}";56.0416397255,12.7024077818
Bergaliden;hbg;8;9:00-18:00;(9:00-15:00);;5;;9502;4002;aktiv;"{""type"": ""Point"", ""coordinates"": [12.701205114547829, 56.048123990291415]}";56.0481239903,12.7012051145
Södra Strandgatan;hbg;12;9:00-18:00;(9:00-15:00);;10;;9578;4079;aktiv;"{""type"": ""Point"", ""coordinates"": [12.694779905379155, 56.04543895344182]}";56.0454389534,12.6947799054
Södergatan;hbg;22;9:00-18:00;(9:00-15:00);;5;;9575;4076;aktiv;"{""type"": ""Point"", ""coordinates"": [12.705246272346885, 56.036360725814234]}";56.0363607258,12.7052462723
Fria bad;hbg;37;9:00-18:00;(9:00-15:00);;5;;9525;4025;aktiv;"{""type"": ""Point"", ""coordinates"": [12.683075038382206, 56.05711245914378]}";56.0571124591,12.6830750384
Olympiaparkeringen;hbg;;08:00-22:00;08:00-22:00;08:00-22:00;5;;;;aktiv;"{""type"": ""Point"", ""coordinates"": [12.708943255343996, 56.04942188608165]}";56.0494218861,12.7089432553
Prästgatan;hbg;6;9:00-18:00;(9:00-15:00);;10;;9565;4066;aktiv;"{""type"": ""Point"", ""coordinates"": [12.69675123059875, 56.04415764066216]}";56.0441576407,12.6967512306
Kustbevakningen;hbg;21;9:00-20:00;(9:00-20:00);9:00-20:00;5;;9550;4051;aktiv;"{""type"": ""Point"", ""coordinates"": [12.686712829482211, 56.04497616552821]}";56.0449761655,12.6867128295
Trosshalaregatan;hbg;15;9:00-22:00;(9:00-22:00);9:00-22:00;10;;9506;4006;aktiv;"{""type"": ""Point"", ""coordinates"": [12.687012776122483, 56.0502694031532]}";56.0502694032,12.6870127761
Wieselgrensgatan;hbg;6;9:00-18:00;(9:00-15:00);;5;;9587;4088;aktiv;"{""type"": ""Point"", ""coordinates"": [12.703800884162161, 56.041271179995185]}";56.04127118,12.7038008842
Fredriksdal;hbg;;9:00-22:00;9:00-22:00;9:00-22:00;5;;;;aktiv;"{""type"": ""Point"", ""coordinates"": [12.708021916065608, 56.05806036615022]}";56.0580603662,12.7080219161
Olympiaparkeringen;hbg;;08:00-22:00;08:00-22:00;08:00-22:00;5;;;;aktiv;"{""type"": ""Point"", ""coordinates"": [12.708805122284954, 56.04955595270204]}";56.0495559527,12.7088051223
Drottninggatan vs;hbg;16;9:00-18:00;(9:00-15:00);;5;;9522;4022;aktiv;"{""type"": ""Point"", ""coordinates"": [12.68793309968141, 56.051373114625754]}";56.0513731146,12.6879330997
Gasverksgatan;hbg;8;9:00-18:00;(9:00-15:00);;5;;9529;4029;aktiv;"{""type"": ""Point"", ""coordinates"": [12.70470147319237, 56.04067386322832]}";56.0406738632,12.7047014732
Carl Krooks gata;hbg;14;9:00-18:00;(9:00-15:00);;5;;9514;4014;aktiv;"{""type"": ""Point"", ""coordinates"": [12.703126193005222, 56.03651116497139]}";56.036511165,12.703126193
Sundstorgsgaraget -1;hbg;186;8:00-18:00;(8:00-15:00);;15;5;9511;4102;aktiv;"{""type"": ""Point"", ""coordinates"": [12.69042051278449, 56.04793454233123]}";56.0479345423,12.6904205128
Sundstorgsgaraget -1;hbg;;8:00-18:00;(8:00-15:00);;15;5;9511;4102;aktiv;"{""type"": ""Point"", ""coordinates"": [12.690221268316824, 56.04823518806278]}";56.0482351881,12.6902212683
