KATEGORI;NAMN;ADRESS;HEMSIDA;Kategori webb;Exportdatum;geo_shape;geo_point_2d
Restauranger;G & Co;Marknadsvägen 9;;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.75681637540675, 56.09205529999136]}";56.0920553,12.7568163754
Restauranger;Hotell Kärnan I Helsingborg;Järnvägsgatan 17;;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.695429951476283, 56.04417930914889]}";56.0441793091,12.6954299515
Restauranger;M/s Aurora Af Helsingborg;Kungstorget 8;https://www.forsea.se/pa-farjorna/restaurang/waves;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.693987120681944, 56.04446574801523]}";56.044465748,12.6939871207
Restauranger;Miss Alice;Aspavägen 418;https://missalice.se/;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.833110809989497, 55.954587654744465]}";55.9545876547,12.83311081
Restauranger;Nils H Restaurang;Karbingatan 14;https://www.nilsh.se/;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.73557376934135, 56.08208466973195]}";56.0820846697,12.7355737693
Restauranger;Nya Polishuset/arrest;Berga Allé 25;;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.712354851375231, 56.06387921485268]}";56.0638792149,12.7123548514
Restauranger;Restaurang Asia Kock;Kungsgatan 2;http://asiakock.se/;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.691040592807406, 56.046001814345345]}";56.0460018143,12.6910405928
Restauranger;Restaurang Glada Änkan;Bruksgatan 29;http://www.hungarian-restaurant.com/;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.697495769248748, 56.043742332868945]}";56.0437423329,12.6974957692
Restauranger;Restaurang Utposten;Stortorget 17;http://www.utposten.com/;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.69597649635737, 56.04743817711611]}";56.0474381771,12.6959764964
Restauranger;Rödbetan Restaurang;Planteringsvägen 9;;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.714492090343118, 56.02581789311635]}";56.0258178931,12.7144920903
Restauranger;Sillen Och Makrillen;Gröningen Norra 1;http://www.sillenmakrillen.se/;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.681717209400052, 56.055285621]}";56.055285621,12.6817172094
Restauranger;Skonaren Nina;;;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.686498667131074, 56.049400510720055]}";56.0494005107,12.6864986671
Restauranger;Sugoi Japansk Restaurang;Kurirgatan 57;;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.708843425437728, 56.06351803612427]}";56.0635180361,12.7088434254
Restauranger;Tacos Y Burritos;Florettgatan 14;http://tacosyburritos.se/;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.723963421891199, 56.0769914138708]}";56.0769914139,12.7239634219
Restauranger;Wakarini;Drottninggatan 74;http://www.wakarini.se/;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.68904449847407, 56.05080353365555]}";56.0508035337,12.6890444985
Restauranger;Vietnam Bamboo Restaurang;Tågagatan 74;http://www.vietnambamboo.se/;Restauranger;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.695685150144634, 56.06075844010119]}";56.0607584401,12.6956851501
Skolrestauranger;Arenans Idrottsförskola;Mellersta Stenbocksgatan 14;https://arenansidrottsforskola.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.704840402660349, 56.05291397623651]}";56.0529139762,12.7048404027
Skolrestauranger;Dalhem Östra Förskola;Annerovägen 52;https://dalhemsforskola.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.7357060506581, 56.06731192993954]}";56.0673119299,12.7357060507
Skolrestauranger;Drottninghögsskolan Och Fritidshem;Blåkullagatan 9;https://drottninghogsskolan.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.72754781158759, 56.06285967997066]}";56.06285968,12.7275478116
Skolrestauranger;Döshults Förskola, Barnen I Döshult;Döshultsvägen 378;https://barnenidoshult.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.642892138565486, 56.1340844049996]}";56.134084405,12.6428921386
Skolrestauranger;Eko-kidz I Gantofta;Norra Kvistoftavägen 19;http://www.ekokidz.info/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.805120761907435, 55.988108302589396]}";55.9881083026,12.8051207619
Skolrestauranger;Elinebergsskolan Åk 4-9;Ramlösavägen 90;https://elinebergsskolan.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.725568445615385, 56.02933306269565]}";56.0293330627,12.7255684456
Skolrestauranger;Filbornaskolan Gymnasiesärskola;Filbornavägen 101A;;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.73218675448558, 56.0552413038594]}";56.0552413039,12.7321867545
Skolrestauranger;Fyrklöverns Montessori;Kungsljusgatan 22;https://fyrklovernsmontessori.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.757200166032566, 56.03176733563975]}";56.0317673356,12.757200166
Skolrestauranger;Förskolan Utforskaren, Norlandia;Magnoliagatan 13;;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.752791081502428, 56.02863311710459]}";56.0286331171,12.7527910815
Skolrestauranger;Gläntanskolan Och Hemkunskap;Merkuriusgatan 200;https://glantanskolan.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.74807044760725, 56.097760629432884]}";56.0977606294,12.7480704476
Skolrestauranger;Grodans Förskola Hippokrene;Grönkullagatan 46A;;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.726045840290086, 56.062327391591886]}";56.0623273916,12.7260458403
Skolrestauranger;Guldskivlingen Familjedaghem;Timjansgatan 6;;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.795062617161568, 55.9859390372359]}";55.9859390372,12.7950626172
Skolrestauranger;Humlegårdens Förskola;Lukas Gata 13;https://humlegardensforskola.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.756507065928314, 56.025705642963736]}";56.025705643,12.7565070659
Skolrestauranger;Hästskons Förskola;Skrittvägen 21;https://hastskonsforskola.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.659542005584491, 56.09390987125532]}";56.0939098713,12.6595420056
Skolrestauranger;Kunskapsskolan Helsingborg;Bergaliden 15;https://www.kunskapsskolan.se/skolor/helsingborg;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.700668266269362, 56.047254938584565]}";56.0472549386,12.7006682663
Skolrestauranger;Laröds Skola;Hittarpsvägen 2;https://larodsskola.helsingborg.se/;Skol- och förskolekök;2020-07-16;"{""type"": ""Point"", ""coordinates"": [12.646941754423382, 56.095591577146955]}";56.0955915771,12.6469417544
