OBJECTID;E-område;E-områdeskod (utan 0);D-område;C-område;C-områdeskod;B-område;B-områdeskod;SHAPE.STArea();SHAPE.STLength();geo_shape;geo_point_2d
538;054580;54580;05458;Tulpangatan;0545;Sofieberg;054;5849.648010253906;360.3306643708148;"{""type"": ""Polygon"", ""coordinates"": [[[12.74089172822268, 56.03992117963557], [12.740171676801973, 56.040132737081116], [12.740225423979746, 56.04017760772524], [12.741369612433697, 56.041197824356175], [12.741781554428863, 56.041036298614735], [12.741754478524188, 56.04082667267853], [12.741353927763326, 56.04049384101298], [12.741114264546916, 56.040227105109736], [12.740891461240016, 56.03992546221056], [12.74089172822268, 56.03992117963557]]]}";56.0405433555,12.741039051
429;051860;51860;05186;Kungälvsgatan - Gotlandsgatan;0518;Wilson park;051;11800.981201171875;497.5046375693403;"{""type"": ""Polygon"", ""coordinates"": [[[12.712904796078158, 56.04981027537174], [12.71349376899452, 56.04927767638509], [12.710824462667363, 56.048510205145526], [12.71052433213046, 56.04916061007223], [12.711138838914326, 56.049261002027], [12.711711913422207, 56.049408046130495], [12.712904796078158, 56.04981027537174]]]}";56.0491646783,12.7119500324
940;191315;191315;19131;Döshult;1913;Allerum;191;827905.2246704102;4315.6208749545185;"{""type"": ""Polygon"", ""coordinates"": [[[12.645593019383753, 56.133148580728445], [12.64263351217783, 56.13403173028223], [12.642375493744453, 56.13376932243036], [12.641998273519247, 56.13388464008872], [12.641622294459042, 56.13399922873847], [12.641876296779348, 56.13425663450489], [12.640598062482882, 56.13467010721053], [12.640601153219604, 56.134571996448585], [12.640181603875098, 56.13383951638296], [12.639789330902556, 56.13370012292815], [12.639846095486758, 56.13445731141225], [12.639786542042488, 56.13446065110073], [12.639804437480732, 56.134660264593776], [12.638925631115796, 56.134678851614595], [12.635201803636964, 56.134732061701044], [12.63458903107344, 56.134743246559744], [12.634589202532801, 56.135730875883006], [12.63461000071861, 56.1361042045032], [12.636094779750183, 56.13609232029401], [12.63604513071823, 56.13897712979834], [12.63456246958888, 56.14080661262849], [12.63230513145275, 56.14359162845763], [12.634281159541723, 56.144116527474225], [12.636378425913655, 56.14463749972979], [12.636267302351873, 56.14479503145329], [12.640325393536235, 56.14526634194015], [12.643686713117212, 56.14565915193758], [12.645621677003271, 56.140303105026916], [12.646602460309287, 56.13769798334024], [12.646874103676042, 56.13550604923842], [12.647024674416139, 56.13444052314874], [12.645593019383753, 56.133148580728445]]]}";56.1395413917,12.6404738636
542;055030;55030;05503;Åstorpsgatan;0550;Rosengården;055;3013.7380981445312;237.43702316592896;"{""type"": ""Polygon"", ""coordinates"": [[[12.71750530319711, 56.049304811813], [12.71762560181856, 56.050031053659936], [12.718218159645698, 56.05001704320959], [12.718158949928116, 56.04966941283756], [12.718092413945987, 56.049278839910464], [12.71750530319711, 56.049304811813]]]}";56.0496582632,12.7178612412
431;052400;52400;05240;Jönköpingsgatan - Husensjövägen;0524;Husensjö;052;6998.6348876953125;415.4559724408347;"{""type"": ""Polygon"", ""coordinates"": [[[12.721010129075196, 56.04627807547599], [12.719997703902793, 56.04593490650411], [12.719155817637498, 56.046669602945], [12.71862817314888, 56.04713005479102], [12.718943302389262, 56.047177020539536], [12.719862159366459, 56.04676728126992], [12.720844622604334, 56.04632919571046], [12.721010129075196, 56.04627807547599]]]}";56.0465226011,12.7198041193
943;192101;192101;19210;Kattarp tätort;1921;Kattarp;192;21262.901733398438;645.1989438423687;"{""type"": ""Polygon"", ""coordinates"": [[[12.780746613546874, 56.1428013413343], [12.780953613121568, 56.14219136102989], [12.781226178626854, 56.14142804487475], [12.781438218421435, 56.140816027264044], [12.781204559786755, 56.14079622053099], [12.779673839311489, 56.1406624925288], [12.77966694256324, 56.140771854920615], [12.779644603971414, 56.14110222273438], [12.779631373370417, 56.14131241843779], [12.77961819782607, 56.14151992003048], [12.779537988841632, 56.142760063740766], [12.780746613546874, 56.1428013413343]]]}";56.1416938469,12.7803571895
545;055160;55160;05516;Billingegatan;0551;Rosengården;055;10602.234924316406;583.882994202476;"{""type"": ""Polygon"", ""coordinates"": [[[12.723633588248273, 56.05233967491413], [12.723519844705805, 56.050085497527], [12.72337105478228, 56.0500892406884], [12.722870986875419, 56.05010183747013], [12.72291770788445, 56.05232613399571], [12.723633588248273, 56.05233967491413]]]}";56.0512313176,12.7232369403
432;052410;52410;05241;Jönköpingsgatan - Husensjövägen;0524;Husensjö;052;9373.624389648438;411.1588821595364;"{""type"": ""Polygon"", ""coordinates"": [[[12.721874620778395, 56.04600606114844], [12.721536575694406, 56.045414026972615], [12.721223402463751, 56.04486553883688], [12.719997703902793, 56.04593490650411], [12.721010129075196, 56.04627807547599], [12.721741026312834, 56.04608890919193], [12.721874620778395, 56.04600606114844]]]}";56.045708687,12.7210235156
945;192111;192111;19211;Kattarp tätort;1921;Kattarp;192;212739.73291015625;2786.2499933691074;"{""type"": ""Polygon"", ""coordinates"": [[[12.788929479417362, 56.1426652069476], [12.790028766556235, 56.14248340297675], [12.79018488431602, 56.142634801171205], [12.790525974801556, 56.1429615184175], [12.791626138927091, 56.14261266917207], [12.792739125265557, 56.142257866021865], [12.79311017258293, 56.142140671158344], [12.794279302032457, 56.14177138297114], [12.794616068226572, 56.14166500800531], [12.794170288604676, 56.141210518508366], [12.793950231989056, 56.14098614540568], [12.79390386804223, 56.14093888979571], [12.793532550786601, 56.14056029407934], [12.793485342687818, 56.140512108395356], [12.793426326133739, 56.14045197277728], [12.793200427446791, 56.14022120604639], [12.793430640041352, 56.1401300500486], [12.793706946759347, 56.140062742255864], [12.794243628444754, 56.13998670934309], [12.793330633995248, 56.13905391904641], [12.79421517689298, 56.13880353422522], [12.794297147803103, 56.13875822416235], [12.794299785332896, 56.13869625854745], [12.794013833427215, 56.138408773961714], [12.793791579108731, 56.13818533989548], [12.793065612203096, 56.137352977275334], [12.792723499222499, 56.13737724527144], [12.789868760021733, 56.13758119528547], [12.78953732798047, 56.13760486919197], [12.78794356624592, 56.13771810311268], [12.785978826207407, 56.13785697986845], [12.786840272031677, 56.139192119543345], [12.787423876043004, 56.13924009696525], [12.787934323664004, 56.13928185708134], [12.78844431955776, 56.139324618401595], [12.788955119828639, 56.13936682539422], [12.789174443083983, 56.13961527352576], [12.789765612952934, 56.14069585771765], [12.789629793771635, 56.141178483214105], [12.784553122519673, 56.14073815232988], [12.78471621395062, 56.141093844164445], [12.784703122494893, 56.141092726542965], [12.784880133609846, 56.14143515233075], [12.785028408696213, 56.141723837483745], [12.786041079919197, 56.14181106392012], [12.786419437390968, 56.14184304961733], [12.786745069402675, 56.141871272001794], [12.786811422000362, 56.14160303905596], [12.787186061605311, 56.141635566782966], [12.787558575736554, 56.141668323616045], [12.788484632160731, 56.14174904901246], [12.789231039475482, 56.14240772051203], [12.788978881164871, 56.14262454498054], [12.788929479417362, 56.1426652069476]]]}";56.1399679749,12.7904571318
552;055270;55270;05527;Nynäsgatan;0552;Rosengården;055;47516.39373779297;934.8316640076071;"{""type"": ""Polygon"", ""coordinates"": [[[12.723189686476033, 56.0489176276228], [12.724212468980609, 56.046597497288126], [12.724380756056505, 56.04653711204268], [12.72424523282439, 56.046485145948466], [12.72378877937318, 56.04629319525086], [12.723739994974114, 56.04628588274745], [12.722576581705907, 56.04611136662199], [12.721874620778395, 56.04600606114844], [12.721741026312834, 56.04608890919193], [12.721010129075196, 56.04627807547599], [12.721173936269171, 56.046398259226116], [12.72153892857777, 56.046874799324726], [12.721100159314096, 56.04877121534336], [12.721607648462259, 56.04894831888057], [12.721930592515008, 56.04898905706426], [12.722590232729766, 56.04897095780477], [12.723189686476033, 56.0489176276228]]]}";56.0474690626,12.7225295659
434;052500;52500;05250;Eksjögatan - Södertäljegatan;0525;Husensjö;052;5817.438293457031;319.2390380385393;"{""type"": ""Polygon"", ""coordinates"": [[[12.723185372989663, 56.04527274486556], [12.721536575694406, 56.045414026972615], [12.721874620778395, 56.04600606114844], [12.722576581705907, 56.04611136662199], [12.723185372989663, 56.04527274486556]]]}";56.0456547763,12.7223338254
946;192200;192200;19220;Hasslarp tätort;1922;Kattarp;192;79074.79809570312;2040.615208532069;"{""type"": ""Polygon"", ""coordinates"": [[[12.820784268720196, 56.13772175542637], [12.819644167305112, 56.13766613067346], [12.819537458233357, 56.13800627901197], [12.818743124890805, 56.13796651559997], [12.817280258308633, 56.138413304377636], [12.816948419469945, 56.138519750160576], [12.816616390635001, 56.13862628381925], [12.815607461234173, 56.138940194966835], [12.815176526765082, 56.13907794412225], [12.814759167021297, 56.13920512411105], [12.81453567387555, 56.13893348185424], [12.814335745783666, 56.13850025998581], [12.815196710471152, 56.13823733497442], [12.8173919047094, 56.13755630622815], [12.816788201093686, 56.137526860906796], [12.815463478516786, 56.13746000071107], [12.814910733675017, 56.137424945684096], [12.814602550681984, 56.13741571025483], [12.814086809157628, 56.137501360127395], [12.813827249115581, 56.13751742379926], [12.812983453261143, 56.13762209277164], [12.813073508790106, 56.13780091001121], [12.813396176543678, 56.13833168937518], [12.813481384842866, 56.13845784839706], [12.813964802441346, 56.13917357479269], [12.814296637202231, 56.139749803431414], [12.814436959986883, 56.14008055823846], [12.8144225555243, 56.140849608488594], [12.81449727511917, 56.141136008342464], [12.814976947013841, 56.14079607327397], [12.815404300869597, 56.140727865799605], [12.81545880697854, 56.14071797387555], [12.815580257706616, 56.14068946606954], [12.815623674245563, 56.140673207718606], [12.815742670173645, 56.14060982041367], [12.81588854877555, 56.140516386398446], [12.815985092989923, 56.14043066359433], [12.816040159385375, 56.14037713395604], [12.816105560306838, 56.140275170978285], [12.816156284078312, 56.140160507894436], [12.816164949381092, 56.14014557489303], [12.816175212891833, 56.14013095610232], [12.81618704614921, 56.14011671423415], [12.816200385784283, 56.14010288486291], [12.816215204785241, 56.14008953968982], [12.8162314253075, 56.140076714209144], [12.816249015992632, 56.140064453153734], [12.81626788565073, 56.140052818888186], [12.816287988925964, 56.14004182912374], [12.816309229803691, 56.1400315461983], [12.816331546844074, 56.14002198773414], [12.816562425986785, 56.1399447585556], [12.818056440588196, 56.139437355072765], [12.818258804027035, 56.139371290897095], [12.818349524942727, 56.139340572067745], [12.818330551863145, 56.13924738430933], [12.81833103780514, 56.13921837710914], [12.818334332795105, 56.139194343130384], [12.818339694896009, 56.13917094027012], [12.818353778039572, 56.13913730182856], [12.818389368524118, 56.13908334936408], [12.8184273335269, 56.139034376693466], [12.818484745399608, 56.138976529878114], [12.81851475871949, 56.13894894291593], [12.818534830382275, 56.138931396200434], [12.818561303241404, 56.13891780964805], [12.81867460657559, 56.138864474238765], [12.81871910240018, 56.13884548143324], [12.818769177624903, 56.13883025562778], [12.818917385846905, 56.13880432602295], [12.819032627110165, 56.13878954908307], [12.819153037432892, 56.13878728464489], [12.819430287428927, 56.138810600767854], [12.819617881616118, 56.13882442330352], [12.819762632606164, 56.13882581299263], [12.819932814436315, 56.13880846359782], [12.820036353346858, 56.13875630365695], [12.820306944183494, 56.13851130714755], [12.820402769512716, 56.138418894803095], [12.820537179471126, 56.13832277866796], [12.82075457786384, 56.13819976128688], [12.820906940792549, 56.13811677542777], [12.82095735386926, 56.138078172045404], [12.821015101517473, 56.13800517430633], [12.821026753625969, 56.13796775900292], [12.821010463180855, 56.137900273160966], [12.820981199813712, 56.13785516051666], [12.8209127326594, 56.13780371609695], [12.820787872934954, 56.13772479298377], [12.820784268720196, 56.13772175542637]]]}";56.1388421134,12.8163834979
556;055310;55310;05531;Luleågatan - Piteågatan;0553;Rosengården;055;9402.942077636719;394.46547254021937;"{""type"": ""Polygon"", ""coordinates"": [[[12.734251553147988, 56.0468379630248], [12.733872868883003, 56.04592045211177], [12.732647421881637, 56.0459796162169], [12.732886071294969, 56.04708191890044], [12.734251553147988, 56.0468379630248]]]}";56.0464693467,12.7334008652
437;052530;52530;05253;Eksjögatan - Södertäljegatan;0525;Husensjö;052;22844.752075195312;628.7085984307146;"{""type"": ""Polygon"", ""coordinates"": [[[12.726558730557214, 56.04399767448452], [12.725489877833414, 56.04412192223436], [12.725293657231168, 56.0441447252722], [12.72453125239758, 56.0451958935996], [12.724635294013543, 56.04521786067771], [12.728045390196664, 56.045019774678295], [12.727995071356672, 56.04475152107415], [12.727938632894093, 56.044450733750054], [12.727667764498646, 56.04386874707464], [12.726558730557214, 56.04399767448452]]]}";56.0445966243,12.7264309899
956;192304;192304;19230;Kattarp glesbygd;1923;Kattarp;192;3563163.2380371094;10664.310093826756;"{""type"": ""Polygon"", ""coordinates"": [[[12.778078177547805, 56.14945406270851], [12.77489643936626, 56.14781847784217], [12.77480536227073, 56.147776673876585], [12.774666403843309, 56.147700926519946], [12.774238909685403, 56.14748247680475], [12.772290050806934, 56.146419482171076], [12.773068245912569, 56.14388777425174], [12.772214562046328, 56.14382895995498], [12.771990418453806, 56.14381451786692], [12.772077793688922, 56.14354198858332], [12.771636477487235, 56.143513369113705], [12.771699628449046, 56.1433162130401], [12.772619210107345, 56.14336485668773], [12.77269493712031, 56.143119175704065], [12.773347994445354, 56.1431567696536], [12.773324177145291, 56.14323094182495], [12.777074305118873, 56.14356571452524], [12.776974620829545, 56.14042071157057], [12.778296317454963, 56.1405333676372], [12.778239101128642, 56.14035900957244], [12.77809347170849, 56.14000913212206], [12.777918571915343, 56.13966343942246], [12.777714691318051, 56.13932274136775], [12.777506126738274, 56.13901996204812], [12.777355938270546, 56.13882258837748], [12.777086182155305, 56.13849646698869], [12.776799729097494, 56.13817480083892], [12.776503393881397, 56.13785592324305], [12.776352664583811, 56.13769598865868], [12.776053725257471, 56.13737912448673], [12.77560391104601, 56.13690235909391], [12.775154126892847, 56.13642561013049], [12.774704335042994, 56.13594883246801], [12.774254571303253, 56.135472089186614], [12.773954735960986, 56.13515423547421], [12.773766884987294, 56.134955118043095], [12.773625460983656, 56.13479659985219], [12.772068842113608, 56.13314604730132], [12.77154978828732, 56.1326024229265], [12.771452968583635, 56.1325989061703], [12.770243321933219, 56.13255490792707], [12.770243385826767, 56.132555950150554], [12.763108767697116, 56.13230635922916], [12.754870592438893, 56.1320082025194], [12.750890923130763, 56.13187485219722], [12.750891034375769, 56.13187665814267], [12.746831912443518, 56.13173339046195], [12.746652938415824, 56.13172706316799], [12.738847750496186, 56.131451915213205], [12.73882329457398, 56.13157814264508], [12.738557611905414, 56.132916368327514], [12.738385718870218, 56.13379342580018], [12.738342543503785, 56.134020857502954], [12.738254712641824, 56.13448339086181], [12.738080098414011, 56.13536207456639], [12.737862976421024, 56.136473420714694], [12.737680996868717, 56.13743530726984], [12.73764545121614, 56.13761441160481], [12.737564264189446, 56.13802331211061], [12.737303689224191, 56.1393355911825], [12.736925763849678, 56.141238824572156], [12.741380582517431, 56.14152575388269], [12.746254876771976, 56.141839520154804], [12.751279837982354, 56.14216132669705], [12.751525191160031, 56.14217703061217], [12.752078237919356, 56.14221396066132], [12.754544158028477, 56.142371225324354], [12.75431388428622, 56.144642990640165], [12.761819760103451, 56.14389147325075], [12.762811776128808, 56.14643117913551], [12.764620114324517, 56.14618890145575], [12.766566291537504, 56.147142554388275], [12.766424106195567, 56.14763356861474], [12.765974351626502, 56.149194588997744], [12.766721891403959, 56.14983667978068], [12.766893844191666, 56.149913476042656], [12.767337378844442, 56.15078621608667], [12.76735274610169, 56.150816457771285], [12.768215473544474, 56.150652296423885], [12.768959894888374, 56.15052987547691], [12.770546023104185, 56.1510621806337], [12.771404186916302, 56.15135016587349], [12.77213188823843, 56.151594364901335], [12.771457663225766, 56.15215128999195], [12.771235571968253, 56.15233473707739], [12.77134849163314, 56.15364485530409], [12.771574184241862, 56.15398929311073], [12.772667745398552, 56.15565810023303], [12.777599141911391, 56.15691211887627], [12.777602739674906, 56.15685641036959], [12.77761434135139, 56.156676904231524], [12.77762594469025, 56.15649738911587], [12.777637529876479, 56.156317891850975], [12.777649132816375, 56.15613838570257], [12.777660734031894, 56.15595887953819], [12.777672335132161, 56.155779373367196], [12.777683937726287, 56.155599867199065], [12.777695538596053, 56.155420361014905], [12.777707139350573, 56.1552408548242], [12.777718723899136, 56.15506134853286], [12.777730326032323, 56.1548818423384], [12.777741926441186, 56.15470233612791], [12.77775352817539, 56.154522838900725], [12.777765128353774, 56.15434333267707], [12.777776728416942, 56.15416382644688], [12.777788328364863, 56.15398432021009], [12.777856203385852, 56.153113988418276], [12.778078177547805, 56.14945406270851]]]}";56.1400520982,12.7601173225
557;055320;55320;05532;Luleågatan - Piteågatan;0553;Rosengården;055;10959.692565917969;429.9055728229967;"{""type"": ""Polygon"", ""coordinates"": [[[12.732886071294969, 56.04708191890044], [12.732647421881637, 56.0459796162169], [12.731647392657045, 56.046027894058234], [12.731340847790698, 56.04607107260465], [12.731589602547682, 56.0473135266229], [12.732886071294969, 56.04708191890044]]]}";56.0466092231,12.7321015013
438;052540;52540;05254;Eksjögatan - Södertäljegatan;0525;Husensjö;052;15796.847595214844;621.566552039872;"{""type"": ""Polygon"", ""coordinates"": [[[12.728045390196664, 56.045019774678295], [12.724635294013543, 56.04521786067771], [12.72453125239758, 56.0451958935996], [12.724059140359664, 56.0458462649753], [12.728156193038902, 56.04561042351521], [12.728045390196664, 56.045019774678295]]]}";56.0454326083,12.7261904027
958;192306;192306;19230;Kattarp glesbygd;1923;Kattarp;192;5318685.332397461;10220.478911901258;"{""type"": ""Polygon"", ""coordinates"": [[[12.736053952242017, 56.161850295277176], [12.737361201096146, 56.162569309393064], [12.738351726775194, 56.163112065035335], [12.738527782593545, 56.1632085233128], [12.743607224515571, 56.16598632196102], [12.743706865275058, 56.1660408020672], [12.74393702902452, 56.16620282444281], [12.744298272924734, 56.16653018707373], [12.744913713912782, 56.167062925488025], [12.745592944778387, 56.16764714522413], [12.746181449421249, 56.16814773894635], [12.74681794256396, 56.168695343392365], [12.747390993869315, 56.16919322342737], [12.748031520495823, 56.16975737174066], [12.748505994015131, 56.17019245958828], [12.752176013860835, 56.16906982043046], [12.75316373724448, 56.168767648833935], [12.755659328384496, 56.168004130247006], [12.758896862758286, 56.16701348939789], [12.767557336736548, 56.16578728812479], [12.772266075753631, 56.16512131311135], [12.777013930667733, 56.16446215094516], [12.777210991804013, 56.164432533122756], [12.77847303565021, 56.16425000364813], [12.780673107023944, 56.16393178098549], [12.78079806053998, 56.16391409621379], [12.781922511190404, 56.16375494480035], [12.78216665683886, 56.163377555207376], [12.783346078117363, 56.16213757662853], [12.783785296673042, 56.161675758006645], [12.784154102346106, 56.16121529042077], [12.784209953884694, 56.16098410979136], [12.784205885880025, 56.16078881305378], [12.78412123517043, 56.16063891755589], [12.783638210808903, 56.16026585273504], [12.783340457720966, 56.16013474995632], [12.783104960692265, 56.16005720426769], [12.782753976310604, 56.15999013394923], [12.782577983806735, 56.15992237194944], [12.782410564817704, 56.15980880052449], [12.782350698862786, 56.15971501962888], [12.782367174599212, 56.15935132432161], [12.782313058677849, 56.1592446615507], [12.781788794086463, 56.15857841297334], [12.781731416010388, 56.158471802822135], [12.78173740809873, 56.15830643643368], [12.78185521663587, 56.15799370649765], [12.78057572388038, 56.15766891760511], [12.777599141911391, 56.15691211887627], [12.772667745398552, 56.15565810023303], [12.771574184241862, 56.15398929311073], [12.77134849163314, 56.15364485530409], [12.771235571968253, 56.15233473707739], [12.771457663225766, 56.15215128999195], [12.77213188823843, 56.151594364901335], [12.771404186916302, 56.15135016587349], [12.770546023104185, 56.1510621806337], [12.768959894888374, 56.15052987547691], [12.768215473544474, 56.150652296423885], [12.76735274610169, 56.150816457771285], [12.767337378844442, 56.15078621608667], [12.766893844191666, 56.149913476042656], [12.766721891403959, 56.14983667978068], [12.765974351626502, 56.149194588997744], [12.766424106195567, 56.14763356861474], [12.766566291537504, 56.147142554388275], [12.764620114324517, 56.14618890145575], [12.762811776128808, 56.14643117913551], [12.761819760103451, 56.14389147325075], [12.75431388428622, 56.144642990640165], [12.751692765211104, 56.14489771241217], [12.749663568315567, 56.14509816058575], [12.749618575975136, 56.14510260265069], [12.747924434406755, 56.14798927310907], [12.746931084905082, 56.14967410340325], [12.746727116118308, 56.14984127108694], [12.745330545956467, 56.15098583142242], [12.740222311482649, 56.15168291881733], [12.739692659428108, 56.15168741263578], [12.734760782673808, 56.15175408176891], [12.73279004125216, 56.15166857540215], [12.731176050237584, 56.15159574763919], [12.73108140453215, 56.152594720631164], [12.731071354353155, 56.152700890500896], [12.732908272846997, 56.15360303855493], [12.734049043041544, 56.15413976631345], [12.734373500575638, 56.15530585949016], [12.736053952242017, 56.161850295277176]]]}";56.157470676,12.7566600921
558;055330;55330;05533;Luleågatan - Piteågatan;0553;Rosengården;055;25347.996337890625;672.1039889592114;"{""type"": ""Polygon"", ""coordinates"": [[[12.731340847790698, 56.04607107260465], [12.728545691679843, 56.046211239472555], [12.728273176143832, 56.046234010394116], [12.728481709598519, 56.047345546338434], [12.729125657677821, 56.04731391361311], [12.730279408472162, 56.04722123103968], [12.730474389575507, 56.04723770674962], [12.73063640555154, 56.047305315380406], [12.730934918471126, 56.04746626687475], [12.731486102394106, 56.04740526670006], [12.73160774615342, 56.04740418294885], [12.731589602547682, 56.0473135266229], [12.731340847790698, 56.04607107260465]]]}";56.0467382116,12.7299808546
439;052550;52550;05255;Eksjögatan - Södertäljegatan;0525;Husensjö;052;18633.636474609375;675.6282551828235;"{""type"": ""Polygon"", ""coordinates"": [[[12.728156193038902, 56.04561042351521], [12.724059140359664, 56.0458462649753], [12.723739994974114, 56.04628588274745], [12.72378877937318, 56.04629319525086], [12.72424523282439, 56.046485145948466], [12.724380756056505, 56.04653711204268], [12.724692959060171, 56.046425070548544], [12.724950740425935, 56.04639941272851], [12.726704062193722, 56.04631713825063], [12.728012164294539, 56.046255828778236], [12.728273176143832, 56.046234010394116], [12.728156193038902, 56.04561042351521]]]}";56.0460453535,12.7260675764
964;192412;192412;19241;Tånga - Rögle tätort;1924;Kattarp;192;181996.21130371094;2087.5367920554713;"{""type"": ""Polygon"", ""coordinates"": [[[12.776822726508739, 56.204494314775765], [12.77507872862586, 56.202652759329105], [12.771845640625475, 56.19919018110118], [12.770411184457547, 56.19967233284564], [12.771141654912494, 56.200503883538524], [12.77034417056074, 56.200809073254426], [12.769774947128866, 56.20103358820113], [12.769480203074147, 56.20114976358192], [12.769807165088752, 56.2015613419409], [12.770207322945625, 56.20206508662776], [12.770626763891222, 56.2025930764971], [12.770719662641804, 56.20271001336015], [12.771155137786176, 56.20325816915006], [12.76865269110633, 56.20393848966175], [12.769171476615155, 56.20458365831999], [12.769290469283108, 56.20476331433279], [12.769409547256476, 56.20491235337728], [12.769549304165752, 56.205087263891585], [12.770054451966274, 56.20572236085381], [12.774019223670052, 56.205000999708794], [12.774737739988128, 56.204875695239686], [12.775702949853153, 56.204701365398385], [12.776160712383655, 56.204616710754216], [12.776822726508739, 56.204494314775765]]]}";56.2029707145,12.7723905686
559;055400;55400;05540;Östra Rosengården;0554;Rosengården;055;52415.07110595703;1029.9037753678099;"{""type"": ""Polygon"", ""coordinates"": [[[12.734473921624282, 56.04737673767892], [12.73160774615342, 56.04740418294885], [12.731486102394106, 56.04740526670006], [12.730934918471126, 56.04746626687475], [12.73063640555154, 56.047305315380406], [12.730474389575507, 56.04723770674962], [12.730279408472162, 56.04722123103968], [12.729125657677821, 56.04731391361311], [12.728481709598519, 56.047345546338434], [12.72837994932804, 56.04749534270896], [12.728750531786373, 56.04864166181181], [12.728719227381502, 56.048770307004695], [12.72916249233246, 56.04882072382088], [12.73023412098691, 56.04875004539275], [12.730283816986951, 56.0487467717098], [12.734673807036758, 56.0483308244466], [12.734503347642617, 56.04744800045395], [12.734473921624282, 56.04737673767892]]]}";56.0479846831,12.7313205702
440;052600;52600;05260;Tranåsgatan;0526;Husensjö;052;14858.231323242188;562.5303898002219;"{""type"": ""Polygon"", ""coordinates"": [[[12.728156193038902, 56.04561042351521], [12.728273176143832, 56.046234010394116], [12.728545691679843, 56.046211239472555], [12.731340847790698, 56.04607107260465], [12.731647392657045, 56.046027894058234], [12.731547203236309, 56.045415210986896], [12.728156193038902, 56.04561042351521]]]}";56.0458254667,12.7299136526
972;192601;192601;19260;Välinge glesbygd;1926;Kattarp;192;997001.1120605469;5105.3579486420085;"{""type"": ""Polygon"", ""coordinates"": [[[12.778778442837696, 56.216077671770236], [12.779189933249572, 56.21590878761775], [12.782518719622194, 56.21439195855623], [12.782260492097018, 56.21397717682912], [12.782404315693174, 56.21394996260109], [12.782770723875165, 56.213901720394716], [12.782994101913848, 56.21416811651047], [12.783681725442403, 56.213872169474215], [12.783943579988453, 56.21377074177155], [12.784890923563614, 56.21340376712182], [12.785274527599654, 56.21330522282724], [12.786391535072557, 56.21309240202178], [12.78893581348125, 56.21260762086062], [12.785314717492302, 56.20615493148105], [12.78455562000246, 56.2047967533334], [12.78443116376811, 56.204563489107414], [12.78311678336682, 56.203990674641155], [12.783080537992712, 56.204019052098516], [12.783025046652826, 56.20406248743204], [12.78193666572547, 56.20484765241217], [12.779110224086233, 56.206907872121185], [12.779124668725396, 56.20692308084559], [12.779089396690095, 56.206944107111255], [12.776070611007071, 56.208742974667594], [12.775017590943701, 56.209369990275015], [12.773560167168966, 56.210237755925895], [12.77137443778382, 56.21153905593402], [12.768890172244776, 56.21301792833599], [12.769398768011392, 56.21541554044032], [12.769410356287192, 56.215470134432785], [12.765756762287541, 56.21593025179248], [12.766603481314428, 56.218834819408585], [12.766612068105406, 56.21886427512368], [12.76709958251227, 56.21880682778056], [12.767642652342095, 56.218712408031216], [12.768034079306194, 56.21860291626895], [12.768485183093388, 56.218414300549426], [12.768744253913585, 56.21825338722744], [12.769493959785276, 56.21750130275473], [12.770157688521833, 56.21692480309767], [12.770508659430407, 56.216684153288654], [12.770835930912623, 56.21658188155753], [12.771221443665002, 56.21655046435156], [12.774082850063506, 56.21657130269565], [12.775151568036904, 56.21658814026497], [12.775748609639896, 56.21654475465492], [12.776876551236969, 56.21638493841044], [12.776319854804584, 56.215604952649024], [12.778272013735009, 56.21538751358556], [12.778534621042791, 56.21567922243383], [12.778632730179583, 56.215827626867366], [12.778778442837696, 56.216077671770236]]]}";56.2117493969,12.7783232853
562;055600;55600;05560;Tyringegatan Helsingborgshem;0556;Rosengården;055;41663.22692871094;838.8019209278882;"{""type"": ""Polygon"", ""coordinates"": [[[12.7209354329716, 56.049971346475296], [12.72092624221402, 56.049971566885255], [12.720544112041006, 56.049972171786976], [12.720138650931641, 56.049926363904994], [12.719784551035598, 56.04984114485221], [12.719305251329738, 56.049607933534496], [12.718158949928116, 56.04966941283756], [12.718218159645698, 56.05001704320959], [12.718538901655116, 56.05190005303193], [12.719576099897047, 56.05230242577784], [12.719938420856423, 56.05199715992206], [12.720185696765851, 56.051905385965924], [12.720504588411423, 56.05187214779062], [12.720851617585131, 56.05193452477445], [12.721108983935844, 56.0516205004486], [12.721162023605848, 56.05137840418828], [12.7209354329716, 56.049971346475296]]]}";56.0508824628,12.719635197
444;052640;52640;05264;Tranåsgatan;0526;Husensjö;052;14041.178161621094;474.79161034678555;"{""type"": ""Polygon"", ""coordinates"": [[[12.733177957588387, 56.04423664214597], [12.732752515964284, 56.043205686609916], [12.73274379167715, 56.043184507666844], [12.732517024639801, 56.043210185973415], [12.730895667265873, 56.04336317902672], [12.731331377672175, 56.04442010796836], [12.733177957588387, 56.04423664214597]]]}";56.0438021388,12.7320364825
