OBJECTID;E-område;E-områdeskod (utan 0);D-område;C-område;C-områdeskod;B-område;B-områdeskod;SHAPE.STArea();SHAPE.STLength();geo_shape;geo_point_2d
97;003200;3200;00320;Brommagatan - Erik Dahlbergs gata;0032;Tågaborg S;003;11423.1142578125;451.9564517519282;"{""type"": ""Polygon"", ""coordinates"": [[[12.69236264466096, 56.05581890519572], [12.690781325834944, 56.05504550597423], [12.690078755101359, 56.05548753481223], [12.690070049181141, 56.05549663891975], [12.690051925371632, 56.055515578952374], [12.691673625024812, 56.05658515983741], [12.691745929511226, 56.05650226611311], [12.69236264466096, 56.05581890519572]]]}";56.0557678014,12.6912418303
101;003300;3300;00330;Kopparmölleparken;0033;Tågaborg S;003;7034.9832763671875;341.42447693656834;"{""type"": ""Polygon"", ""coordinates"": [[[12.691648954855514, 56.05449962223877], [12.691649794890102, 56.05449997802336], [12.693013918641006, 56.055097236085345], [12.693542877749577, 56.05451158114769], [12.692407126917935, 56.054022569815146], [12.691648954855514, 56.05449962223877]]]}";56.0545416239,12.6926442428
105;003340;3340;00334;Kopparmölleparken;0033;Tågaborg S;003;15809.593322753906;557.9231069560457;"{""type"": ""Polygon"", ""coordinates"": [[[12.694357642919377, 56.05567949013276], [12.694911353245558, 56.05488094736498], [12.695285368076478, 56.05473342972231], [12.695467105349216, 56.054703636998106], [12.695892252845542, 56.05463392614182], [12.694099984827657, 56.05389473500278], [12.694072062665935, 56.05392563800835], [12.693542877749577, 56.05451158114769], [12.693013918641006, 56.055097236085345], [12.694357642919377, 56.05567949013276]]]}";56.0547654447,12.6942650058
109;003430;3430;00343;Möllebäcksgatan;0034;Tågaborg S;003;13107.993286132812;465.91635440667807;"{""type"": ""Polygon"", ""coordinates"": [[[12.699229953877433, 56.055527147539784], [12.698227554540326, 56.056169093267194], [12.699830164220065, 56.05700192957612], [12.700874346578319, 56.05637645325769], [12.700026782446344, 56.05593870526111], [12.699229953877433, 56.055527147539784]]]}";56.0562677576,12.6995430606
1002;193116;193116;19311;Ödåkra tätort;1931;Ödåkra;193;25909.83447265625;967.8527539206325;"{""type"": ""Polygon"", ""coordinates"": [[[12.75058032435878, 56.10756564708459], [12.750495647271443, 56.10755819059071], [12.74921309827893, 56.107445254946136], [12.748936327032663, 56.10737701945849], [12.748694532801014, 56.107266100537686], [12.748100419238282, 56.106724233774216], [12.747805218616618, 56.106610832390494], [12.747333367856188, 56.10652882200949], [12.746916371199841, 56.106423226589115], [12.746897042681564, 56.10641746836222], [12.7494945661234, 56.10915448913911], [12.749892169799667, 56.10957171409982], [12.750002296459483, 56.109688639122595], [12.750205526958178, 56.10962914020051], [12.750172044134434, 56.10941626446562], [12.750131275511842, 56.10915701800204], [12.750098043872462, 56.108973836530744], [12.750091904020842, 56.10890670758746], [12.750062625444889, 56.10872524759837], [12.750049297084926, 56.108635836854866], [12.750023259404086, 56.10847685023046], [12.74998966220866, 56.108254004260125], [12.750446595441593, 56.10828744079608], [12.750449900382332, 56.108262447424444], [12.750457116305078, 56.10820848556174], [12.750495791302908, 56.10791940874214], [12.75058032435878, 56.10756564708459]]]}";56.10793129,12.7490964864
111;003500;3500;00350;Brommagatan - Stampgatan;0035;Tågaborg S;003;11484.074645996094;453.70802197242404;"{""type"": ""Polygon"", ""coordinates"": [[[12.692717080394829, 56.05771133041918], [12.69379819510554, 56.05744198818722], [12.695008596123607, 56.057140463462986], [12.695168985897485, 56.057093511781794], [12.69480027870278, 56.05676395212951], [12.694260739886746, 56.05657235631124], [12.693818380196758, 56.056457170689534], [12.693790145043613, 56.0564978974542], [12.692486614052317, 56.0573414513831], [12.692717080394829, 56.05771133041918]]]}";56.0570852476,12.693766901
1008;193123;193123;19312;Ödåkra tätort;1931;Ödåkra;193;376324.58825683594;3526.553576712582;"{""type"": ""Polygon"", ""coordinates"": [[[12.751172772714346, 56.1109313945707], [12.756069328990373, 56.11057894465719], [12.759060372402738, 56.11036478146011], [12.761808890828348, 56.11063997272802], [12.76195676166249, 56.111227639113565], [12.761836624433027, 56.11158723620179], [12.761713754985687, 56.1119550034376], [12.762068200716332, 56.11232050084509], [12.762373624941116, 56.11266515936146], [12.762633737425075, 56.11297494730708], [12.762946998105557, 56.11338322012927], [12.763016580652781, 56.11337363713259], [12.7654230723631, 56.11167044609321], [12.765466551910437, 56.111670363361284], [12.766161193074916, 56.11166893264452], [12.76854568318007, 56.111664017194194], [12.768793471487918, 56.11110008317258], [12.768898490210653, 56.11086107036607], [12.769319685972224, 56.10990412668186], [12.76958971857985, 56.10929076283443], [12.769626414636544, 56.10920738932407], [12.769839485844358, 56.1087233983994], [12.768748526264455, 56.108443306041465], [12.766951572954675, 56.10798192836578], [12.766517210233593, 56.10896968245553], [12.766498176678304, 56.10901293195771], [12.760862728696928, 56.108682760099256], [12.75970791159137, 56.10858943333769], [12.758903622129383, 56.108471722042275], [12.756586224732844, 56.10809594110541], [12.756166020718902, 56.10804813562529], [12.75477092123517, 56.107889385151466], [12.753977943689783, 56.1078338527802], [12.752369685033715, 56.10772318560855], [12.751767193675388, 56.107670139108215], [12.75058032435878, 56.10756564708459], [12.750495791302908, 56.10791940874214], [12.750457116305078, 56.10820848556174], [12.750449900382332, 56.108262447424444], [12.750446595441593, 56.10828744079608], [12.74998966220866, 56.108254004260125], [12.750023259404086, 56.10847685023046], [12.750049297084926, 56.108635836854866], [12.750062625444889, 56.10872524759837], [12.750091904020842, 56.10890670758746], [12.750098043872462, 56.108973836530744], [12.750131275511842, 56.10915701800204], [12.750172044134434, 56.10941626446562], [12.750205526958178, 56.10962914020051], [12.750002296459483, 56.109688639122595], [12.750393749163583, 56.110104253288746], [12.75039356935235, 56.1101054826602], [12.750450169280647, 56.11016522066402], [12.75076256429512, 56.11049518246516], [12.751071724797383, 56.11082270781179], [12.751172772714346, 56.1109313945707]]]}";56.1098275251,12.7600660864
116;003630;3630;00363;Magnus Stenbocksskolan;0036;Tågaborg S;003;11602.429504394531;448.20021383390144;"{""type"": ""Polygon"", ""coordinates"": [[[12.692717080394829, 56.05771133041918], [12.693033756216222, 56.058219559393564], [12.69336903910511, 56.05875760225574], [12.693376349151743, 56.05876514966429], [12.693583178793116, 56.058978430982194], [12.694718886090676, 56.05859196698686], [12.69379819510554, 56.05744198818722], [12.692717080394829, 56.05771133041918]]]}";56.0582002497,12.6936942255
1010;193125;193125;19312;Ödåkra tätort;1931;Ödåkra;193;104908.09680175781;1328.0619622297772;"{""type"": ""Polygon"", ""coordinates"": [[[12.760862728696928, 56.108682760099256], [12.760776870104829, 56.10813310997792], [12.760702903540606, 56.107942385753645], [12.760490834518983, 56.10770730149143], [12.760380836074384, 56.107466163849296], [12.761064090332436, 56.1059569285392], [12.75870002849296, 56.10541673502457], [12.756129015805348, 56.10479789223176], [12.756121135611627, 56.10480832616092], [12.755347969892645, 56.10550345031277], [12.756166020718902, 56.10804813562529], [12.756586224732844, 56.10809594110541], [12.758903622129383, 56.108471722042275], [12.75970791159137, 56.10858943333769], [12.760862728696928, 56.108682760099256]]]}";56.1067825777,12.7581708896
121;011110;11110;01111;Carl Öhrns gata;0111;Stattena;011;7181.261657714844;335.3080374857505;"{""type"": ""Polygon"", ""coordinates"": [[[12.696394484231053, 56.063538264407626], [12.695907775566035, 56.064158677584814], [12.69626676746126, 56.06432369914509], [12.69681035342662, 56.064573943676216], [12.697598096552877, 56.064076098024664], [12.697736304405643, 56.06392497401902], [12.696842919747885, 56.0636453874718], [12.696394484231053, 56.063538264407626]]]}";56.0640409561,12.6967659973
